BASE	EXPONENT	MODULUS	SELF(ms)	GMP(ms)	DIFFERENCE
12086653822009606144	1064	44	-28	0	28
51911782883604663389009097056	1040	44	-43	0	43
222959409762134603848882597705022962399	1024	39	-75	0	75
957603373263831262680866483286598278435525119081	1040	33	-121	0	121
4112875170707436052876706830658470200970482431039806986291	1064	37	-183	0	183
17664664350718855031116782557857939658558769502658546280275552660972	1052	32	-245	0	245
75869155681154556449211643442743078647451321507920641328685948547201971256314	1044	41	-315	0	315
325855542425691423470749893568994371321159339628500559470052135664971178852602030871977	1044	32	-399	0	399
1399538897938685173994557605474311544432459676509366692441577014096006425954492527098326993859851	1056	41	-504	0	504
6010973796126534635546694597500238651452665191446469381708263666207678603680390988163708214942056000302513	1020	36	-568	0	568
25816935871476437737484332377163408360184339889300164929102333059307039946886224530656249877262669056299862942960267	1076	34	-754	0	754
110882895250920559317075440872310776154884728355892468697900679127023364994441911392081542640847177598479094109296662057438861	1060	33	-863	0	863
476238408788497516160867112911356495533606538938402001950187120706755182478999231200720059007668101519371528539135413098663985300214632	1064	40	-1005	0	1005
2045428390845675812888155724956215495314010153672187156876981904515917915025813904816235465089124709248108625549117255374211838157446586477254433	1048	36	-1117	0	1117
8785048044992083399372844144442116584302114860633978143577858775079662156456377716967788212393140351486135296588968653501520086662277987786643637993332172	1076	44	-1338	0	1338
37731494047029734779210872510883990894596810310058533953045695868673768756708977544999794657682839704370896096280880721158184658501569754404321850787824745037221504	1032	37	-1401	0	1401
162055532961211396816264478121872144942255083387617023174036863349516147703131639145372486381463311670683306987740449927451298350993170459829314310191899114914404662413424228	1064	44	-1660	0	1660
696023214204252985868334454419948364820357391639568005905362444384592871808855906912248218746590304249439925485473505374728899050254396244320186704379006182688713864375577493519755288	1064	43	-1851	0	1851
2989396942264069238414846643723680876912111912123808404931466569658445230693756483364526441350859468262034306276785628658940846286928092349580427647921851543629827395794884795781000894479702026	1020	42	-1883	0	1883
12839362101786577574871393215648573027078122128863783002150574038000328156036859487438609112129203477677387303888841799092951272800919188945115736069518554743657225795063878121967037619937067140361342053	1040	44	-2159	0	2159
55144640328675173855839625267166896580368256980563845633077413160838070667446296469096148944322525863153844508928189146422028180801522235258116825353549775089193448223886954764778325767631380946008205744491514636	1024	43	-2285	0	2285
236844426761342562717945409143377083386495899368045424634059905362079501468418735171088234395410173458359933582515752396384766450532913067450429883440839921516241343139063756715754281861610876546422785420230387511873713470	1048	41	-2619	0	2619
1017239067179833503926404404584143948140864815823862166245720061234986497358842444393508931458669027509343132533637273947306200537636863396310638450519499413683463301625392815153065008567584712644779289169115131148904411039649336982	1052	35	-2874	0	2874
4369008525750931850088994508559250737421334385120551300437082762975384377157818675086819415298889048840753088674165711530272958607167945411173679201861364192061649776497245784235787445959736146518884712119476501543295351645435261646151042289	1028	34	-3097	0	3097
18764748734045426137657006103785573995488514556773036852867540972624595552922160640195939349366570529903581227866529731107092471170948036720504225147989941530850248605861380077366579433204434082087674084947526418768947063385964236455421850911097717758	1056	41	-3398	0	3398
80593982130382507039620435281031422107211221564960128577668852297362669185027717183299982537528938741613271406966269048116636037327044643029972739640437559011953992835644221341715408468999260864754339599556351844708628217597955421001647811546952501233931104058	1024	36	-3441	0	3441
346148517504401275705659545785314527098843602385713691785042716535027131200961018155810662356057884548816394972492032136798002173854691998145727264527202115086412472285710233754052919913633255262292567654172267282092828843605990209667988912704132161265133737449776751910	1072	33	-4059	0	4059
1486696562240287015216487071258140530963239031665467883836182329480939966980828776750069027187366921620110131915472097648128417494842808388188791243279873986678169782433631822106172598482361975889566480058537325926759506319413226660220195398154846556695547387413041591958371256317	1044	44	-4136	0	4136
6385313113897661224008266331060535154259187019233892973614730126613733813521979455117231637512275792710568352495198495799230068748584110688065331063658238547783878892687883966450901150213083919279628539469253980450724970898985138415481043393804764704905585857757255681348981139308292534420	1056	42	-4672	0	4672
27424710998910378048002833925562907483801523355157293296439456797671925953526264336912409729171751328224366267539477536486086527255000401710484654429825028683698293120119155171349381629893978864609508456048691043553687089501692889084524341484348313416544582026787521058104071156249936496938549979091	1064	37	-4897	0	4897
117788236842571565351168489825611986033601192565380767644087500190005810907728921204089925403344889121768214869407642408134388393586439377813394051085960025198746097281933571084094870290217815170813050629364581415671197669627195895253787426391212101996817005131041798885468301380550383256427876281859980138206	1028	41	-4923	0	4923
