BASE	EXPONENT	MODULUS	SELF(ms)	GMP(ms)	DIFFERENCE
17604961003731156992	856	31	0	0	0
75612731758380653260667616421	184	39	0	0	0
324754210063465479673683175658317056221	488	35	0	0	0
1394808711460898319623421991317895026869633895801	776	30	0	0	0
5990657799900458665563952488317555079966118837962486849573	1016	40	1	0	1
25729679332099782023996977333821721131133145197098404293749078297854	392	35	0	0	0
110508131267935686801795704851617566952648986043157120535438268519427916363235	680	42	1	0	1
474628809737858788245011386410965982760717775622920277289237372317809241409519470421809	184	35	0	0	0
2038515215563509828578513139782717711725782639786308618972526046885966410220455068536909658906015	120	34	0	0	0
8755356183243664924719280103673049117862192157886743947049924493883388373251374669603465553907853633291669	200	35	0	0	0
37603968471862924050851610025939235437819764752991233724505381380498505100781295392989689842296756352542497346166353	168	39	0	0	0
161507814786466354993339506010354727888680131156510867021442886805248411584744847761406185537847966061050272551951279848804905	504	41	1	0	1
693670782556298218100719476139268993640860291922204831325702129560371848912426653639738377857165184452328860022517207935960895903082063	520	37	1	0	1
2979293325270028125565665384088412669034326923110882726757086970699351948677925645381395698892615026492560124833673231682183710238597849875737527	968	35	2	0	2
12795967397225861168304714325139011186054506036133547893112992675381426867965561084032787973578844954703719323474303969625610101338718122112210344643718695	1032	34	2	0	2
54958261491767314843305099789094763697882274698628182489370007173450772723727794910211132138223251157907075863885380645904972749297040153034477872517660567418673870	776	37	2	0	2
236043935752156790493730768144178507527252394288696299855764048453256468314339722345552068988803415270005022642378657366673214282001994446881917622899009319492007412432591512	184	40	0	0	0
1013800984474638576634897342208205302615638862207647790356716105199295916110549355307866547372046458757778582004755837038250935660398687556131445364117305738017387169787564351885593605	552	42	1	0	1
4354242072971176428066873817101562197587952171328497620668759845787471521921169001641170832495374284957271795319680436544393269702812525374906722116094640052417821773607588158844060467796930185	872	32	2	0	2
18701327302278448309193319545409895149150144659468086153586137186535193553182767952137799052716726625170867118281233340129172345536087435704394510539186394266026270245201307079672092873034276317466594880	408	40	1	0	1
80321589155077841773611803589213086580388913506084486785362892335138107863950025065188740216838120807281324684979660926399639639625107124146877146247732889820744754579997514843644905293556897070546338584527029290	920	37	1	0	1
344978598583807602751925332215245625237986858469605567756077794071387244918985775033365907298759677393370408193545146104055515278375060798707449243663821875923670023284635542014729421672844152433234729073086522430016781582	776	34	2	0	2
1481671798737365568975678902898415193004225774004736523531866230768430906278586073257519880649540515768036430405446840816460251089049222152460133573116050175461532542303068152232496816373859246005581984860327007615292525628667062598	136	43	0	0	0
6363731918982479211946973107345852864182677689150630317666099874997199691702168249762108073459599752650688790727974201573214716911414792879054999640325060316302343975231414234297723214749842770901193258421871625573224347048366873931907588156	808	34	2	0	2
27332020472541069812312101982241935412892530444610811232161990010982660767442095205017813955526546514884397668050437228088668958720424664506154906840487896867745983021761558168137602734610559522162645492297615202947355823843689853747298022024851783542	856	40	1	0	1
117390134063166360860733336158745885358117675022287773690165210471449208819226060479269926036398915741251265204935291973141725765874597941285707315589822205730789834313837148642152672972992520443949949582260077195451296073083784937811668052962226109564292725207	952	35	3	0	3
504186786674355118104184089378787841987680662340282059099908815811831093603650705789382418282672248718533782173819816820855022537431950994971041112686237324068326118627189153687936537457985966559376434516655893320898716594708082175798508094680757063935950064137070832239	200	37	0	0	0
2165465759841683834147688184645434737459504079643130267249647560493902236903594567572715350561469791732880503507743900642283012555613165348875282046058840016168014348966393831495605218105528700399471428402122629098924821102643699611935114952245123150125886564157821685704650407057	904	31	3	0	3
9300604619127822205236208787057751553090916146445823848904976139847491714922182972568074532578687993184652930441773336002078933702715926400459766770598683561137732870069392909329759179490192845005111920673522228961420055398505348973709209993893405705283181076063649922701064213425548453653	168	43	0	0	0
39945792672180532415192116695440870983818692563663160066823717932305299343221731052107945251115951477315955225357979310373748408263717090268317697643508880235739379228532259796145608955466172222030152652112524266518323183655088721123148220737768537214251077140539464832393998781058694739307288250436	920	44	2	0	2
171565873139811835731118034763934133177256629754411670447021043116380002566627614145311296715301519098994913551912831030699882950424721046098704376316886907298081404165887765905421017317731930127923156366710957036702585858557207801202385996629304859352967321451390197252474346151310958161772048730071828264388	328	38	1	0	1
736869814245176670058876208826888182294425795794378636290685080808658032932061663764619011131572247309302540175812807519629969263102166202916843684253106199375843354438246113370287098490708280794387052996117743557498677941135289251240317332691230606134874366190440150934366371798864032831235226702576834126475074316882	456	40	1	0	1
3164831753592628723645055711423951268403445036035630583509571171508303485090895835724386894709962755254678406624842098514753596006509023348284343431411241312734102819731203508524491426148323025888277292984144523544771517320412680445577490380570787119343542367856668556108407409358297710960825585970713421500427171950178949625021	152	44	0	0	0
13592848879022670874725736192663884288890514563506574846911005084612570460908221201778830182430285439196895907451086554284876868346352458409781672746743700564957079954646902579833147890339446641433912323146310975162295658683470015737454029018306124490558563458734793063997150853837973014808406628904250559132597953555787129987099373451233	344	34	1	0	1
58380841394872631849518749917014938141112976174872454048458973460900702960096456519173892658675789761295664427218659470318874816934481409759212450947438684420507382048865609808081399325739317663695691973244789461367928146328282133388970376937059790003453690828006581747195397954412570181532630177013364466864222338038632634832292710875138673857020	232	34	1	0	1
250743804503940975879131024232381873259543265712304367109394090212300453917024673755337865906027007691736525301494714665980250030251584629635792711535253364551343917626455268024806446609966820386928123521176077738980706811757874242766737416057464448461461329156783429476954773935907287820987429767135091340110310614348583951163007637907904143680712576839599	344	41	1	0	1
1076936440019043994515192597977063649832955246131385401532825671837504146499576071404245639496819407328748825618596339407236737661833566636462002087079075151821987839054143320573458204919777561206962356426099617346475760131464498143163901758586355062824653925097076086158243139725795001279200113276942112919746597121028836414155578969812658157011545583501967825250364	712	41	2	0	2
4625406789752459573627955583452764134142938645165930818755314531011308535480072104545395817189445250495078926630278247179397813987306676098641020110688371943001672582447257135159846955753310928978541608353193297341227690621380680109941684020885282186675913990809975415273332565938647938094442651563961765875450707242106606271732123131290738031192221375554188961094558638027147	312	41	1	0	1
19865970892683161804294173302270220716945678470322221359952579336887147966052565348744367982203861987258891798815828555015717856049373532966128051419484857542676159814910833040414194407325629483682214893652205629246976683708435939438437217336868067959504417541437688959162982271638256436573463747814739036629469596864918228082637958121538834111674018697597375463705345713880898736238159	840	32	3	0	3
85323695287362105639319826696606920533983362038565247323068972362775666956908686389759895147755097240174508961116595170935444957695295085377497856594893840313013030723911441064695211273649681455028478625080341175882865963402268359199124453811092566952776925708003598901425288390514099737544525098305895629098117988361127919329198815540226885703609122119073241392047294821492233311230624883906856	872	34	3	0	3
366462480833089565830575827346314437860729396563765628014732782650449337364510649302339058951997230463849373320854711902039265820509395924765881108385166964736237370181042844573097352628135888410165010443355110722939093239564275494975820280952505137090867272299297102731923141424626534999635918641075006730965762735160353051191435170627211046516931128668689789607556645743579299989737323390023743892135268	376	33	1	0	1
1573944370389146519881162255300562976744456960947188150932178707662756103685444069797271474502244138724807968683165902386760602406938461557585135817138523485041724771020624616616264210962023290165564153817708661069482322463823256540855360417464541293077271514802207780021162147604353816837235642470333916192477821443209225670681027893148051252480153907916390665533576467936130695438494939590727832680200731370166143	856	36	3	0	3
