PRIME_NUMBER	BITS	SELF(prob)	GMP([0:no][1:probably][2:yes])	SELF(ms)	GMP(ms)	DIFFERENCE(ms)	test passed	test run
53367288104135782015023030345	96	0.750000	0	1	0	1	0	2
79190083488244392030001940797	96	0.750000	1	0	0	0	2	2
41121876782528112453230158329	96	0.750000	0	0	0	0	0	2
49298127624967002598331291945	96	0.750000	0	0	0	0	0	2
68546340168021257892831873703	96	0.750000	0	0	0	0	0	2
56468646393801226454634193427	96	0.750000	0	0	0	0	0	2
41634033633883013181486852745	96	0.750000	0	0	0	0	0	2
44562390141881526657841925459	96	0.937500	0	0	0	0	0	3
76573276457479706504452552441	96	0.937500	0	0	0	0	0	3
74909302804033439117786137633	96	1.000000	0	1	0	1	0	28


78846713923914093465119294841	96	0.937500	0	0	0	0	0	3
69323865996751091260094741371	96	0.937500	0	0	0	0	0	3
64932421750345973389144378457	96	0.937500	0	0	0	0	0	3
41113722170002111002097159719	96	0.937500	0	0	0	0	0	3
55303359551179568822024013161	96	0.984375	0	0	0	0	0	4
75304485181820155147886381847	96	0.984375	0	0	0	0	0	4
74561143806571837338001673963	96	0.984375	0	0	0	0	0	4
73161083742382238177774921831	96	0.984375	0	0	0	0	0	4
68189224372897951290537811039	96	0.984375	0	1	0	1	0	4
44308934347181895394327689045	96	0.996094	0	0	0	0	0	5
56717673912389430038911778227	96	1.000000	0	0	0	0	0	30


68182714818317893718789989967	96	0.996094	0	0	0	0	0	5
39761457968881245514844607219	96	0.996094	0	0	0	0	0	5
50266313029484095464250832233	96	0.996094	0	0	0	0	0	5
52956025524768109219477878173	96	0.996094	0	1	0	1	0	5
70325033803148288716261786989	96	0.996094	0	0	0	0	0	5
78392756613399808860373741353	96	0.996094	0	0	0	0	0	5
49802255369184380518132672143	96	0.996094	0	0	0	0	0	5
55777183006547827267215722105	96	0.999023	0	0	0	0	0	6
74623132909457466305035626173	96	0.999023	0	0	0	0	0	6
41610315490647460807097783141	96	0.999023	0	0	0	0	0	6
1032282757949014174489476142636969013282309139677	160	0.750000	0	0	0	0	0	2
1347507507960756956708305244278580324510008138667	160	0.750000	0	0	0	0	0	2
1396212893999100829509348683452992965639702163843	160	0.750000	0	0	0	0	0	2
787423101170800471582637722031641971470603230033	160	0.750000	0	1	0	1	0	2
1019034046869819020744852066575020942238062100057	160	0.750000	0	0	0	0	0	2
765932260070245448657455660916225258279646098397	160	0.750000	0	0	0	0	0	2
1056553626175013563847522613627007758320488370837	160	0.750000	0	0	0	0	0	2
933161609980471029105221102340254851962171074681	160	0.937500	0	0	0	0	0	3
910746851371733477728235665794541529560882659545	160	0.937500	0	0	0	0	0	3
1176761592873876271458660888264440066227853767419	160	1.000000	0	1	0	1	0	28


959016434485524051689913647348083772956363369253	160	0.937500	0	0	0	0	0	3
820598189265586129143241155642093774821454982387	160	0.937500	0	0	0	0	0	3
866471319011439322421907069700656538298225486005	160	0.937500	0	0	0	0	0	3
1090883969693815512199790256005450409861861167729	160	0.937500	0	0	0	0	0	3
1180216086357332531563041710398749702071425082397	160	0.984375	0	0	0	0	0	4
1301275238143674830540742098147895579466424106959	160	0.984375	0	0	0	0	0	4
1371409503495130473317001146732692836704737970691	160	0.984375	0	0	0	0	0	4
833009214078325055505970016877120945563004117787	160	0.984375	0	1	0	1	0	4
926100857914530430256712794390025559961655684971	160	0.984375	0	0	0	0	0	4
1364202844510770997010918496965384954932493431689	160	0.996094	0	0	0	0	0	5
965502539566577616938963907466307539078995008417	160	1.000000	0	0	0	0	0	30


909363583577877784725670654327471127188727099661	160	0.996094	0	0	0	0	0	5
980974309130152701238357700425900831984452354617	160	0.996094	0	1	0	1	0	5
1073565790069016770522136261017278220610168400433	160	0.996094	0	0	0	0	0	5
755077456966575926562820448304413464044627284965	160	0.996094	0	0	0	0	0	5
1015663765683702115947241052735648616078755250949	160	0.996094	0	0	0	0	0	5
865432788955036428941991313045297386994197612245	160	0.996094	0	0	0	0	0	5
1042053100634237574775102390100886670373368029045	160	0.996094	0	0	0	0	0	5
826460815693158775410878236515732627039723793557	160	0.999023	0	0	0	0	0	6
1324070902084320086044883100973826371053786934571	160	0.999023	0	1	0	1	0	6
1357656205362312751178569705613520315344041194933	160	0.999023	0	0	0	0	0	6
22892143698302520859127365618065329490554500225020443677941709992791	224	0.750000	0	0	0	0	0	2
16381722172309211395498844116921320814293464723869801266949501705521	224	0.750000	0	0	0	0	0	2
24701035485544550500631814400955995905613754300891167156163508019947	224	0.750000	0	0	0	0	0	2
22493151526565035112269630102401295949412210063577947671824370691813	224	0.750000	0	1	0	1	0	2
13641941507012940886974773829114940577205128524924938068110448520267	224	0.750000	0	0	0	0	0	2
26669329116556306421153452148431911871588328333407880413939006573065	224	0.750000	0	0	0	0	0	2
23084952962789331339232569074524639616883007406432113985698332816809	224	0.750000	0	0	0	0	0	2
23466969250808936019269836800216769540407637838629281478967738941335	224	0.937500	0	0	0	0	0	3
17671446476180247787918270507852606453271671946895574421902040501913	224	0.937500	0	0	0	0	0	3
19573470428801662495365961568066315909407271357896360253694823370593	224	1.000000	0	1	0	1	0	28


16479442988628621489887716233488314522838494656892706345237150131807	224	0.937500	1	0	0	0	3	3
19977215344552478338650526242614643508635611945514750166302939362961	224	0.937500	0	0	0	0	0	3
21017837817500785888740467299276274456395128150658877650813790377807	224	0.937500	0	1	0	1	0	3
17920551854253759147169051346461298028272121877775396177188104157991	224	0.937500	0	0	0	0	0	3
24153304389393361299519182098533832906914144410613280154462848433607	224	0.984375	0	0	0	0	0	4
14497534975209597937140828273402439742793106296584239923666314464241	224	0.984375	0	0	0	0	0	4
19574394843200828813850053642000480251455862259628819423522880151793	224	0.984375	0	0	0	0	0	4
15019280822357324464060029080952501471108008902102845314816623809069	224	0.984375	0	1	0	1	0	4
20902697031183278310021215888226320038855494710279122136688636120221	224	0.984375	0	0	0	0	0	4
18388335369465025083233222908513611705225350046504409157340644823571	224	0.996094	0	0	0	0	0	5
21641179186745489902037025820594629535278172383590625920658159442445	224	1.000000	0	1	0	1	0	30


16606023600118206916253103531153940952593901842965214974826144383049	224	0.996094	0	0	0	0	0	5
21273199524376086244371598933490388408158691115093245879782426809887	224	0.996094	0	0	0	0	0	5
16514895880513359751900059577514071428804224028294743859582335580557	224	0.996094	0	0	0	0	0	5
15330770596383906775386090749506556582568295810002689849478706277049	224	0.996094	0	0	0	0	0	5
19266893127198270112466317047056668690857735007642143021529198122125	224	0.996094	0	1	0	1	0	5
18337621177015030784162315497178449144825899617779527749712053697155	224	0.996094	0	0	0	0	0	5
18270446972070633457983194009717761197625731523467274281258831087421	224	0.996094	0	0	0	0	0	5
24156846605863078380514248752862273379437692836907170958121422346809	224	0.999023	0	0	0	0	0	6
17872649043748240378224413678410669917989603950068140134028182646835	224	0.999023	0	1	0	1	0	6
23152452933012903398316390153080666850958118960330920423568554789585	224	0.999023	0	0	0	0	0	6
414504555369777443055065394446919515953955050269425330859247397834164892956884582366563	288	0.750000	0	0	0	0	0	2
496225108388452142477594272611954852179253550475672272040428064032415153738334888626131	288	0.750000	0	0	0	0	0	2
451909028084963366840143971103126078683854467364805225384153561224346756859296739996627	288	0.750000	0	1	0	1	0	2
305142449332361617942577020185268884643430260347882652516182053460349308947648012361445	288	0.750000	0	0	0	0	0	2
309405906311552607523047129437081508130869317899848780135521575488286173100635703427511	288	0.750000	0	0	0	0	0	2
332736074573940481658076140340715237920190223460705342052199367747728489379160343902807	288	0.750000	0	0	0	0	0	2
269748704226401957172350923035290722145305756432784532355023634982870510551213081911661	288	0.750000	0	0	0	0	0	2
252107633804567158828584872759093494202932047000460380856919175845415412899008381439585	288	0.937500	0	1	0	1	0	3
315615659750416360061358058592140910134958041887836619316270026887051281504674418084049	288	0.937500	0	0	0	0	0	3
389240957944727405835865712433675460092036385769501438928156893701318174757713598129279	288	1.000000	0	1	0	1	0	28


374691863273703161017285201108841254613829896166382322973678440302691927826380779222327	288	0.937500	0	0	0	0	0	3
441155903398867440851166498169176370382589358428448636223154550591038575455698593300849	288	0.937500	0	0	0	0	0	3
452344731264846391811001101235591487564241683938576174875790718691729516511147536502411	288	0.937500	0	0	0	0	0	3
334391831751947454060919660228660271778448715258118609443943822005855403223969905060585	288	0.937500	0	1	0	1	0	3
407549701736971588597264154123003343018967945843993188239997274611397876453897015630459	288	0.984375	0	0	0	0	0	4
315688745062273748347800473333142417417313437874338191283115249089611109286920088565271	288	0.984375	0	0	0	0	0	4
278256794671540364834901355652021787994766189824886795332230957017828562538166830431441	288	0.984375	0	1	0	1	0	4
360417113457197755085274104681248073599430200456512788081821688573206272104805626893769	288	0.984375	0	0	0	0	0	4
373332268840140878965262675270830953157484940930292224246923991295600630909209022284615	288	0.984375	0	0	0	0	0	4
434712107615430426988932848775193395944526925550891561986426058688542169907713555095093	288	0.996094	0	0	0	0	0	5
271091140220187416245551320820594619688358141187702194807288585791686316893850685963085	288	1.000000	0	1	0	1	0	30


402547913560409927064912748597247493020720520720890849190310810628699144021732644656821	288	0.996094	0	1	0	1	0	5
383744369359849171828779079597595426312197053794327543649111086537057871623231875296153	288	0.996094	0	0	0	0	0	5
302213941844014709951308620127074505495801736002977550779386659372738017570924085906237	288	0.996094	0	0	0	0	0	5
315571361095507256693408382596837563913677542658061876186504576337646026599382279670363	288	0.996094	0	1	0	1	0	5
328383929227669291254027557595756327619014781933761580993696924645200260395637369656843	288	0.996094	0	0	0	0	0	5
485174249527683452367327360701117607176281368713930551387082611301442387859936288123025	288	0.996094	0	0	0	0	0	5
463030800151036028774773782140398963087841734108705645813599196049501870776802217796163	288	0.996094	0	0	0	0	0	5
270164308305425292213524608795923409457332886539691675250542045456711125303993994218903	288	0.999023	0	1	0	1	0	6
468969470221489715588405158375388248236642809073365633759694687214048880104940050731227	288	0.999023	1	0	0	0	6	6
